sc_cip,sc_cip_revised,field_name_1,osp_cip,field_name_2,mapping,manual,Note,have_data
100,1,"Agriculture, General.",1,Agriculture,2,,,yes
101,1.01,Agricultural Business and Management.,1,Agriculture,2,,,yes
102,1.02,Agricultural Mechanization.,1,Agriculture,2,,,yes
103,1.03,Agricultural Production Operations.,1,Agriculture,2,,,yes
104,1.04,Agricultural and Food Products Processing.,1,Agriculture,2,,,yes
105,1.05,Agricultural and Domestic Animal Services.,1,Agriculture,2,,,yes
106,1.06,Applied Horticulture and Horticultural Business Services.,1,Agriculture,2,,,yes
107,1.07,International Agriculture.,1,Agriculture,2,,,yes
108,1.08,Agricultural Public Services.,1,Agriculture,2,,,yes
109,1.09,Animal Sciences.,1,Agriculture,2,,,yes
110,1.1,Food Science and Technology.,1,Agriculture,2,,,yes
111,1.11,Plant Sciences.,1,Agriculture,2,,,yes
112,1.12,Soil Sciences.,1,Agriculture,2,,,yes
113,1.13,Agriculture/Veterinary Preparatory Programs.,1,Agriculture,2,,,yes
180,1.8,Veterinary Medicine.,1,Agriculture,2,,,yes
181,1.81,Veterinary Biomedical and Clinical Sciences.,1,Agriculture,2,,,yes
183,1.83,Veterinary/Animal Health Technologies/Technicians.,1,Agriculture,2,,,yes
199,1.99,"Agriculture, Agriculture Operations, and Related Sciences, Other.",1,Agriculture,2,,,yes
301,3.01,Natural Resources Conservation and Research.,,,0,,,yes
302,3.02,Natural Resources Management and Policy.,,,0,,,yes
303,3.03,Fishing and Fisheries Sciences and Management.,,,0,,,yes
305,3.05,Forestry.,,,0,,,yes
306,3.06,Wildlife and Wildlands Science and Management.,,,0,,,yes
399,3.99,"Natural Resources and Conservation, Other.",,,0,,,yes
402,4.02,Architecture.,4,Architecture,2,,,yes
403,4.03,"City/Urban, Community and Regional Planning.",4,Architecture,2,,,yes
404,4.04,Environmental Design.,4,Architecture,2,,,yes
405,4.05,Interior Architecture.,4,Architecture,2,,,yes
406,4.06,Landscape Architecture.,4,Architecture,2,,,yes
408,4.08,Architectural History and Criticism.,4,Architecture,2,,,yes
409,4.09,Architectural Sciences and Technology.,4,Architecture,2,,,yes
410,4.1,Real Estate Development.,4,Architecture,2,,,yes
499,4.99,"Architecture and Related Services, Other.",4,Architecture,2,,,yes
501,5.01,Area Studies.,,,0,,,yes
502,5.02,"Ethnic, Cultural Minority, Gender, and Group Studies.",5.0207,Women's Studies,3,1,,yes
901,9.01,Communication and Media Studies.,9.01,Media / Communications,3,1,,yes
901,9.01,Communication and Media Studies.,9.0101,Media / Communications,3,1,,yes
901,9.01,Communication and Media Studies.,9.0102,Media / Communications,3,1,,yes
901,9.01,Communication and Media Studies.,9.0199,Media / Communications,3,1,,yes
904,9.04,Journalism.,9.04,Journalism,1,,,yes
907,9.07,"Radio, Television, and Digital Communication.",9.07,Media / Communications,1,,,yes
909,9.09,"Public Relations, Advertising, and Applied Communication.",9.09,Media / Communications,1,,,yes
910,9.1,Publishing.,9.1,Media / Communications,1,,,yes
999,9.99,"Communication, Journalism, and Related Programs, Other.",9.99,Media / Communications,1,,,yes
1001,10.01,Communications Technology/Technician.,10,Media / Communications,2,,,yes
1002,10.02,Audiovisual Communications Technologies/Technicians.,10,Media / Communications,2,,,yes
1003,10.03,Graphic Communications.,10,Media / Communications,2,,,yes
1099,10.99,"Communications Technologies/Technicians and Support Services, Other.",10,Media / Communications,2,,,yes
1101,11.01,"Computer and Information Sciences, General.",11,Computer Science,2,,,yes
1102,11.02,Computer Programming.,11,Computer Science,2,,,yes
1103,11.03,Data Processing.,11,Computer Science,2,,,yes
1104,11.04,Information Science/Studies.,11,Computer Science,2,,,yes
1105,11.05,Computer Systems Analysis.,11,Computer Science,2,,,yes
1106,11.06,Data Entry/Microcomputer Applications.,11,Computer Science,2,,,yes
1107,11.07,Computer Science.,11,Computer Science,2,,,yes
1108,11.08,Computer Software and Media Applications.,11,Computer Science,2,,,yes
1109,11.09,Computer Systems Networking and Telecommunications.,11,Computer Science,2,,,yes
1110,11.1,Computer/Information Technology Administration and Management.,11,Computer Science,2,,,yes
1199,11.99,"Computer and Information Sciences and Support Services, Other.",11,Computer Science,2,,,yes
1203,12.03,Funeral Service and Mortuary Science.,,,0,,,yes
1204,12.04,Cosmetology and Related Personal Grooming Services.,12.04,Cosmetology,1,,,yes
1205,12.05,Culinary Arts and Related Services.,12.05,Culinary Arts,1,,,yes
1299,12.99,"Personal and Culinary Services, Other.",,,0,,,yes
1301,13.01,"Education, General.",13,Education,2,,,yes
1302,13.02,"Bilingual, Multilingual, and Multicultural Education.",13,Education,2,,,yes
1303,13.03,Curriculum and Instruction.,13,Education,2,,,yes
1304,13.04,Educational Administration and Supervision.,13,Education,2,,,yes
1305,13.05,Educational/Instructional Media Design.,13,Education,2,,,yes
1306,13.06,"Educational Assessment, Evaluation, and Research.",13,Education,2,,,yes
1307,13.07,International and Comparative Education.,13,Education,2,,,yes
1309,13.09,Social and Philosophical Foundations of Education.,13,Education,2,,,yes
1310,13.1,Special Education and Teaching.,13,Education,2,,,yes
1311,13.11,Student Counseling and Personnel Services.,13,Education,2,,,yes
1312,13.12,"Teacher Education and Professional Development, Specific Levels and Methods.",13,Education,2,,,yes
1313,13.13,"Teacher Education and Professional Development, Specific Subject Areas.",13,Education,2,,,yes
1314,13.14,Teaching English or French as a Second or Foreign Language.,13,Education,2,,,yes
1315,13.15,Teaching Assistants/Aides.,13,Education,2,,,yes
1399,13.99,"Education, Other.",13,Education,2,,,yes
1401,14.01,"Engineering, General.",14,Engineering,2,,,yes
1402,14.02,"Aerospace, Aeronautical and Astronautical Engineering.",14,Engineering,2,,,yes
1403,14.03,Agricultural Engineering.,14,Engineering,2,,,yes
1404,14.04,Architectural Engineering.,14,Engineering,2,,,yes
1405,14.05,Biomedical/Medical Engineering.,14,Engineering,2,,,yes
1406,14.06,Ceramic Sciences and Engineering.,14,Engineering,2,,,yes
1407,14.07,Chemical Engineering.,14,Engineering,2,,,yes
1408,14.08,Civil Engineering.,14,Engineering,2,,,yes
1409,14.09,Computer Engineering.,14,Engineering,2,,,yes
1410,14.1,"Electrical, Electronics and Communications Engineering.",14,Engineering,2,,,yes
1411,14.11,Engineering Mechanics.,14,Engineering,2,,,yes
1412,14.12,Engineering Physics.,14,Engineering,2,,,yes
1413,14.13,Engineering Science.,14,Engineering,2,,,yes
1414,14.14,Environmental/Environmental Health Engineering.,14,Engineering,2,,,yes
1418,14.18,Materials Engineering,14,Engineering,2,,,yes
1419,14.19,Mechanical Engineering.,14,Engineering,2,,,yes
1420,14.2,Metallurgical Engineering.,14,Engineering,2,,,yes
1421,14.21,Mining and Mineral Engineering.,14,Engineering,2,,,yes
1422,14.22,Naval Architecture and Marine Engineering.,14,Engineering,2,,,yes
1423,14.23,Nuclear Engineering.,14,Engineering,2,,,yes
1424,14.24,Ocean Engineering.,14,Engineering,2,,,yes
1425,14.25,Petroleum Engineering.,14,Engineering,2,,,yes
1427,14.27,Systems Engineering.,14,Engineering,2,,,yes
1428,14.28,Textile Sciences and Engineering.,14,Engineering,2,,,yes
1432,14.32,Polymer/Plastics Engineering.,14,Engineering,2,,,yes
1433,14.33,Construction Engineering.,14,Engineering,2,,,yes
1434,14.34,Forest Engineering.,14,Engineering,2,,,yes
1435,14.35,Industrial Engineering.,14,Engineering,2,,,yes
1436,14.36,Manufacturing Engineering.,14,Engineering,2,,,yes
1437,14.37,Operations Research.,14,Engineering,2,,,yes
1438,14.38,Surveying Engineering.,14,Engineering,2,,,yes
1439,14.39,Geological/Geophysical Engineering.,14,Engineering,2,,,yes
1440,14.4,Paper Science and Engineering.,14,Engineering,2,,,no
1441,14.41,Electromechanical Engineering.,14,Engineering,2,,,yes
1442,14.42,"Mechatronics, Robotics, and Automation Engineering.",14,Engineering,2,,,yes
1443,14.43,Biochemical Engineering.,14,Engineering,2,,,yes
1444,14.44,Engineering Chemistry.,14,Engineering,2,,,no
1445,14.45,Biological/Biosystems Engineering.,14,Engineering,2,,,yes
1499,14.99,"Engineering, Other.",14,Engineering,2,,,yes
1500,15,"Engineering Technology, General.",,,0,,,yes
1501,15.01,Architectural Engineering Technologies/Technicians.,,,0,,,yes
1502,15.02,Civil Engineering Technologies/Technicians.,,,0,,,yes
1503,15.03,Electrical Engineering Technologies/Technicians.,,,0,,,yes
1504,15.04,Electromechanical Instrumentation and Maintenance Technologies/Technicians.,,,0,,,yes
1505,15.05,Environmental Control Technologies/Technicians.,,,0,,,yes
1506,15.06,Industrial Production Technologies/Technicians.,,,0,,,yes
1507,15.07,Quality Control and Safety Technologies/Technicians.,,,0,,,yes
1508,15.08,Mechanical Engineering Related Technologies/Technicians.,,,0,,,yes
1509,15.09,Mining and Petroleum Technologies/Technicians.,,,0,,,yes
1510,15.1,Construction Engineering Technologies.,,,0,,,yes
1511,15.11,Engineering-Related Technologies.,,,0,,,yes
1512,15.12,Computer Engineering Technologies/Technicians.,,,0,,,yes
1513,15.13,Drafting/Design Engineering Technologies/Technicians.,,,0,,,yes
1514,15.14,Nuclear Engineering Technologies/Technicians.,,,0,,,yes
1515,15.15,Engineering-Related Fields.,,,0,,,yes
1516,15.16,Nanotechnology.,,,0,,,yes
1517,15.17,Energy Systems Technologies/Technicians.,,,0,,,yes
1599,15.99,"Engineering Technologies/Technicians, Other.",,,0,,,yes
1601,16.01,"Linguistic, Comparative, and Related Language Studies and Services.",16.0102,Linguistics,3,1,,yes
1601,16.01,"Linguistic, Comparative, and Related Language Studies and Services.",16.0105,Linguistics,3,1,,yes
1602,16.02,"African Languages, Literatures, and Linguistics.",,,0,,,no
1603,16.03,"East Asian Languages, Literatures, and Linguistics.",16.0301,Chinese,3,1,,yes
1603,16.03,"East Asian Languages, Literatures, and Linguistics.",16.0302,Japanese,3,1,,yes
1604,16.04,"Slavic, Baltic and Albanian Languages, Literatures, and Linguistics.",,,0,,,yes
1605,16.05,"Germanic Languages, Literatures, and Linguistics.",16.0501,German,3,1,,yes
1606,16.06,Modern Greek Language and Literature.,,,0,,,no
1607,16.07,"South Asian Languages, Literatures, and Linguistics.",,,0,,,no
1608,16.08,"Iranian/Persian Languages, Literatures, and Linguistics.",,,0,,,no
1609,16.09,"Romance Languages, Literatures, and Linguistics.",16.0905,Spanish,3,1,,yes
1609,16.09,"Romance Languages, Literatures, and Linguistics.",16.0901,French,3,1,,yes
1610,16.1,"American Indian/Native American Languages, Literatures, and Linguistics.",,,0,,,no
1611,16.11,"Middle/Near Eastern and Semitic Languages, Literatures, and Linguistics.",16.1102,Hebrew,3,1,,yes
1612,16.12,"Classics and Classical Languages, Literatures, and Linguistics.",16.12,Classics,1,,,yes
1613,16.13,"Celtic Languages, Literatures, and Linguistics.",,,0,,,no
1614,16.14,"Southeast Asian and Australasian/Pacific Languages, Literatures, and Linguistics.",,,0,,,no
1615,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asian Languages, Literatures, and Linguistics.",,,0,,,no
1616,16.16,American Sign Language.,16.16,Sign Language,1,,,yes
1699,16.99,"Foreign Languages, Literatures, and Linguistics, Other.",,,0,,,yes
1900,19,Work and Family Studies.,,,0,,,no
1901,19.01,"Family and Consumer Sciences/Human Sciences, General.",,,0,,,yes
1902,19.02,Family and Consumer Sciences/Human Sciences Business Services.,,,0,,,yes
1904,19.04,Family and Consumer Economics and Related Studies.,,,0,,,yes
1905,19.05,"Foods, Nutrition, and Related Services.",19.05,Nutrition,1,,,yes
1906,19.06,Housing and Human Environments.,,,0,,,yes
1907,19.07,"Human Development, Family Studies, and Related Services.",,,0,,,yes
1909,19.09,Apparel and Textiles.,,,0,,,yes
1910,19.1,Work and Family Studies.,,,0,,,no
1999,19.99,"Family and Consumer Sciences/Human Sciences, Other.",,,0,,,yes
2200,22,Non-Professional General Legal Studies (Undergraduate).,22,Law,2,,,yes
2201,22.01,Law.,22,Law,2,,,yes
2202,22.02,Legal Research and Advanced Professional Studies.,22,Law,2,,,yes
2203,22.03,Legal Support Services.,22,Law,2,,,yes
2299,22.99,"Legal Professions and Studies, Other.",22,Law,2,,,yes
2301,23.01,"English Language and Literature, General.",23,English Literature,2,,,yes
2305,23.05,Creative Writing.,23,English Literature,2,,,no
2308,23.08,English Literature (British and Commonwealth).,23,English Literature,2,,,no
2313,23.13,Rhetoric and Composition/Writing Studies.,23,English Literature,2,,,yes
2314,23.14,Literature.,23,English Literature,2,,,yes
2399,23.99,"English Language and Literature/Letters, Other.",23,English Literature,2,,,yes
2401,24.01,"Liberal Arts and Sciences, General Studies and Humanities.",,,0,,,yes
2501,25.01,Library Science and Administration.,25,Library Science,2,,,yes
2503,25.03,Library and Archives Assisting.,25,Library Science,2,,,yes
2599,25.99,"Library Science, Other.",25,Library Science,2,,,yes
2601,26.01,"Biology, General.",26,Biology,2,,,yes
2602,26.02,"Biochemistry, Biophysics and Molecular Biology.",26,Biology,2,,,yes
2603,26.03,Botany/Plant Biology.,26,Biology,2,,,yes
2604,26.04,Cell/Cellular Biology and Anatomical Sciences.,26,Biology,2,,,yes
2605,26.05,Microbiological Sciences and Immunology.,26,Biology,2,,,yes
2607,26.07,Zoology/Animal Biology.,26,Biology,2,,,yes
2608,26.08,Genetics.,26,Biology,2,,,yes
2609,26.09,"Physiology, Pathology and Related Sciences.",26,Biology,2,,,yes
2610,26.1,Pharmacology and Toxicology.,26,Biology,2,,,yes
2611,26.11,"Biomathematics, Bioinformatics, and Computational Biology.",26,Biology,2,,,yes
2612,26.12,Biotechnology.,26,Biology,2,,,yes
2613,26.13,"Ecology, Evolution, Systematics, and Population Biology.",26,Biology,2,,,yes
2614,26.14,Molecular Medicine.,26,Biology,2,,,no
2615,26.15,Neurobiology and Neurosciences.,26,Biology,2,,,yes
2699,26.99,"Biological and Biomedical Sciences, Other.",26,Biology,2,,,yes
2701,27.01,Mathematics.,27,Mathematics,2,,,yes
2703,27.03,Applied Mathematics.,27,Mathematics,2,,,yes
2705,27.05,Statistics.,27,Mathematics,2,,,yes
2799,27.99,"Mathematics and Statistics, Other.",27,Mathematics,2,,,yes
2801,28.01,"Air Force ROTC, Air Science and Operations.",28.01,Military Science,1,,,no
2803,28.03,"Army ROTC, Military Science and Operations.",28.03,Military Science,1,,,no
